image,ILS_um,Predicted_Hardness
Tile_001-001-000_0.tif,0.3076171,352.02062674453185
Tile_001-002-000_0.tif,0.28564445,357.6707651737151
Tile_001-003-000_0.tif,0.28564445,357.6707651737151
Tile_001-004-000_0.tif,0.28564445,357.6707651737151
Tile_001-005-000_0.tif,0.3076171,352.02062674453185
Tile_001-006-000_0.tif,0.3076171,352.02062674453185
Tile_001-007-000_0.tif,0.3076171,352.02062674453185
Tile_001-008-000_0.tif,0.3076171,352.02062674453185
Tile_001-009-000_0.tif,0.3076171,352.02062674453185
Tile_001-010-000_0.tif,0.28564445,357.6707651737151
Tile_001-011-000_0.tif,0.28564445,357.6707651737151
Tile_001-012-000_0.tif,0.3076171,352.02062674453185
Tile_001-013-000_0.tif,0.3076171,352.02062674453185
Tile_001-014-000_0.tif,0.3076171,352.02062674453185
Tile_001-015-000_0.tif,0.3076171,352.02062674453185
Tile_001-016-000_0.tif,0.3076171,352.02062674453185
Tile_001-017-000_0.tif,0.3076171,352.02062674453185
Tile_001-018-000_0.tif,0.3076171,352.02062674453185
Tile_001-019-000_0.tif,0.3076171,352.02062674453185
Tile_001-020-000_0.tif,0.3076171,352.02062674453185
Tile_001-021-000_0.tif,0.3076171,352.02062674453185
Tile_001-022-000_0.tif,0.3076171,352.02062674453185
Tile_001-023-000_0.tif,0.3076171,352.02062674453185
Tile_001-024-000_0.tif,0.3076171,352.02062674453185
Tile_001-025-000_0.tif,0.3076171,352.02062674453185
Tile_001-026-000_0.tif,0.3076171,352.02062674453185
Tile_001-027-000_0.tif,0.32958975,348.431677281223
Tile_001-028-000_0.tif,0.32958975,348.431677281223
Tile_001-029-000_0.tif,0.32958975,348.431677281223
Tile_001-030-000_0.tif,0.32958975,348.431677281223
Tile_001-031-000_0.tif,0.32958975,348.431677281223
Tile_001-032-000_0.tif,0.3515624,353.05555426240426
Tile_001-033-000_0.tif,0.3515624,353.05555426240426
Tile_001-034-000_0.tif,0.32958975,348.431677281223
Tile_001-035-000_0.tif,0.3515624,353.05555426240426
Tile_001-036-000_0.tif,0.37353505,349.66823015873007
Tile_001-037-000_0.tif,0.3515624,353.05555426240426
Tile_001-038-000_0.tif,0.37353505,349.66823015873007
Tile_001-039-000_0.tif,0.3515624,353.05555426240426
Tile_001-040-000_0.tif,0.32958975,348.431677281223
Tile_001-041-000_0.tif,0.32958975,348.431677281223
Tile_001-042-000_0.tif,0.32958975,348.431677281223
Tile_001-043-000_0.tif,0.3076171,352.02062674453185
Tile_001-044-000_0.tif,0.3076171,352.02062674453185
