image,ILS_um
Tile_001-001-000_0.tif,0.3076171
Tile_001-002-000_0.tif,0.28564445
Tile_001-003-000_0.tif,0.28564445
Tile_001-004-000_0.tif,0.28564445
Tile_001-005-000_0.tif,0.3076171
Tile_001-006-000_0.tif,0.3076171
Tile_001-007-000_0.tif,0.3076171
Tile_001-008-000_0.tif,0.3076171
Tile_001-009-000_0.tif,0.3076171
Tile_001-010-000_0.tif,0.28564445
Tile_001-011-000_0.tif,0.28564445
Tile_001-012-000_0.tif,0.3076171
Tile_001-013-000_0.tif,0.3076171
Tile_001-014-000_0.tif,0.3076171
Tile_001-015-000_0.tif,0.3076171
Tile_001-016-000_0.tif,0.3076171
Tile_001-017-000_0.tif,0.3076171
Tile_001-018-000_0.tif,0.3076171
Tile_001-019-000_0.tif,0.3076171
Tile_001-020-000_0.tif,0.3076171
Tile_001-021-000_0.tif,0.3076171
Tile_001-022-000_0.tif,0.3076171
Tile_001-023-000_0.tif,0.3076171
Tile_001-024-000_0.tif,0.3076171
Tile_001-025-000_0.tif,0.3076171
Tile_001-026-000_0.tif,0.3076171
Tile_001-027-000_0.tif,0.32958975
Tile_001-028-000_0.tif,0.32958975
Tile_001-029-000_0.tif,0.32958975
Tile_001-030-000_0.tif,0.32958975
Tile_001-031-000_0.tif,0.32958975
Tile_001-032-000_0.tif,0.3515624
Tile_001-033-000_0.tif,0.3515624
Tile_001-034-000_0.tif,0.32958975
Tile_001-035-000_0.tif,0.3515624
Tile_001-036-000_0.tif,0.37353505
Tile_001-037-000_0.tif,0.3515624
Tile_001-038-000_0.tif,0.37353505
Tile_001-039-000_0.tif,0.3515624
Tile_001-040-000_0.tif,0.32958975
Tile_001-041-000_0.tif,0.32958975
Tile_001-042-000_0.tif,0.32958975
Tile_001-043-000_0.tif,0.3076171
Tile_001-044-000_0.tif,0.3076171
Tile_001-045-000_0.tif,0.3076171
Tile_001-046-000_0.tif,0.3076171
Tile_001-047-000_0.tif,0.28564445
Tile_001-048-000_0.tif,0.3076171
Tile_001-049-000_0.tif,0.3076171
Tile_001-050-000_0.tif,0.3076171
Tile_001-051-000_0.tif,0.3076171
Tile_001-052-000_0.tif,0.3076171
Tile_001-053-000_0.tif,0.28564445
Tile_001-054-000_0.tif,0.3076171
Tile_001-055-000_0.tif,0.3076171
Tile_001-056-000_0.tif,0.3076171
Tile_001-057-000_0.tif,0.3076171
Tile_001-058-000_0.tif,0.3076171
Tile_001-059-000_0.tif,0.3076171
Tile_001-060-000_0.tif,0.3076171
Tile_001-061-000_0.tif,0.3076171
Tile_001-062-000_0.tif,0.3076171
Tile_001-063-000_0.tif,0.3076171
Tile_001-064-000_0.tif,0.3076171
Tile_001-065-000_0.tif,0.3076171
Tile_001-066-000_0.tif,0.3076171
Tile_001-067-000_0.tif,0.3076171
Tile_001-068-000_0.tif,0.3076171
Tile_001-069-000_0.tif,0.32958975
Tile_001-070-000_0.tif,0.32958975
Tile_001-071-000_0.tif,0.3515624
Tile_001-072-000_0.tif,0.3515624
Tile_001-073-000_0.tif,0.3515624
Tile_001-074-000_0.tif,0.37353505
Tile_001-075-000_0.tif,0.37353505
Tile_001-076-000_0.tif,0.3515624
Tile_001-077-000_0.tif,0.3515624
Tile_001-078-000_0.tif,0.3515624
Tile_001-079-000_0.tif,0.3515624
Tile_001-080-000_0.tif,0.32958975
Tile_001-081-000_0.tif,0.32958975
Tile_001-082-000_0.tif,0.32958975
Tile_001-083-000_0.tif,0.3076171
Tile_001-084-000_0.tif,0.32958975
Tile_001-085-000_0.tif,0.3076171
Tile_001-086-000_0.tif,0.3076171
Tile_001-087-000_0.tif,0.3076171
Tile_001-088-000_0.tif,0.3076171
Tile_001-089-000_0.tif,0.3076171
Tile_001-090-000_0.tif,0.3076171
Tile_001-091-000_0.tif,0.3076171
Tile_001-092-000_0.tif,0.3076171
Tile_001-093-000_0.tif,0.3076171
Tile_001-094-000_0.tif,0.3076171
Tile_001-095-000_0.tif,0.3076171
Tile_001-096-000_0.tif,0.32958975
Tile_001-097-000_0.tif,0.32958975
Tile_001-098-000_0.tif,0.3076171
Tile_001-099-000_0.tif,0.32958975
Tile_001-100-000_0.tif,0.3076171
Tile_001-101-000_0.tif,0.32958975
Tile_001-102-000_0.tif,0.32958975
Tile_001-103-000_0.tif,0.32958975
Tile_001-104-000_0.tif,0.32958975
Tile_001-105-000_0.tif,0.3515624
Tile_001-106-000_0.tif,0.32958975
Tile_001-107-000_0.tif,0.32958975
Tile_001-108-000_0.tif,0.32958975
Tile_001-109-000_0.tif,0.32958975
Tile_001-110-000_0.tif,0.3076171
Tile_001-111-000_0.tif,0.28564445
Tile_001-112-000_0.tif,0.28564445
Tile_001-113-000_0.tif,0.3076171
Tile_001-114-000_0.tif,0.3076171
Tile_001-115-000_0.tif,0.28564445
Tile_001-116-000_0.tif,0.28564445
Tile_001-117-000_0.tif,0.28564445
Tile_001-118-000_0.tif,0.28564445
Tile_001-119-000_0.tif,0.28564445
Tile_001-120-000_0.tif,0.28564445
Tile_001-121-000_0.tif,0.3076171
Tile_001-122-000_0.tif,0.3076171
Tile_001-123-000_0.tif,0.3076171
Tile_001-124-000_0.tif,0.3076171
Tile_001-125-000_0.tif,0.3076171
Tile_001-126-000_0.tif,0.3076171
Tile_001-127-000_0.tif,0.3076171
Tile_001-128-000_0.tif,0.3076171
Tile_001-129-000_0.tif,0.28564445
Tile_001-130-000_0.tif,0.28564445
Tile_001-131-000_0.tif,0.3076171
Tile_001-132-000_0.tif,0.3076171
Tile_001-133-000_0.tif,0.3076171
Tile_001-134-000_0.tif,0.3076171
Tile_001-135-000_0.tif,0.3076171
Tile_001-136-000_0.tif,0.28564445
Tile_001-137-000_0.tif,0.3076171
Tile_001-138-000_0.tif,0.3076171
Tile_001-139-000_0.tif,0.3076171
Tile_001-140-000_0.tif,0.3076171
Tile_001-141-000_0.tif,0.3076171
Tile_001-142-000_0.tif,0.3076171
